Type,Document,Articles,Template Link
Policies,Privacy Policy,"1,2,3,4,5",
Policies,Information Security Policy,"1,2,3,4,5",https://vrisk-common-documents.s3.amazonaws.com/gdpr/templates/POL 4 Information Security Policy Template.docm
Policies,Data Protection Policy,"1,2,3,4,5,8,12,13,14,24,32",
Vrisk,Information Classification Procedure,4,
Procedures,Retention of Records Procedure,7,
Procedures,Withdrawal of Consent Procedure,7,
Procedures,Data Portability Procedure,20,
Procedures,Data Protection Policy Review Procedure,24,
Procedures,Competence Procedure,32,
Procedures,Control of Records Procedure,32,
Procedures,Secure Disposal of Storage Media,32,
Procedures,Operatons Procedure,32,
Procedures,Continuous Improvement Procedure,32,
Vrisk,Responding to Information Security Reports,32,
Vrisk,Corrective Action Report,32,
Vrisk,Nonconformance Report,32,
Vrisk,Control Rules and Rights Report,32,
Vrisk,Collection of Evidence Report,32,
Vrisk,Audit Schedule,32,
Vrisk,Audit Lead Report,32,
Vrisk,Monitor and Measurement Register,32,
Policies,Training Policy,39,
Procedures,Complaints Procedure,47,
Procedures,Consent Procedure,"6,7,8,9",
Vrisk,Scope Statement,"1,2,3,4",
Procedures,Subject Access Request Procedure,"12,13,14,15,16,17,18,19,21,22",
Vrisk,Information Security Weakness and Events Report,"25,35",
Procedures,Managing Sub Contract Processing,"28,29",
Vrisk,List of Authorities and Key Suppliers,"28,29,33",
Vrisk,Audit Checklist for Compliance,"28,39,47,58",
Procedures,Internal Audit Procedure,"28,47",
Policies,Access Control Policy,"30,32,35",
Vrisk,"Monitoring, Measurement, Analysis, Evaluation Procedure","32,41",
Vrisk,Data Protection Impact Procedure,"32,35",
Vrisk,Risk Assessment Procedure,"32,35",
Procedures,Communication Procedure,"33,36",
Procedures,Contact with Authorities Work Instruction,"33,36",
Procedures,Personal Data Breach Notification Procedure,"33,34",
Procedures,Transfers of personal data to 3rd countries or international organizations Procedure,"44,45,46,47,48,49",
Procedures,Managing 3rd Party Service Contracts,"44,45,46,47,48,49,50",
Vrisk,External Parties ﾖ Information Security Report,"44,45,46,47,48,49,51",
Procedures,Subject Access Request Record Procedure,"6,10,7,12,30",
Forms,Competence Matrix,39,
Forms,Privacy Notice,1,
Forms,Privacy Notice Register,1,
Forms,Individual User Agreement,6,
Forms,Data Subject Consent Withdrawal Form,7,
Forms,Retention and Disposal Schedule,7,
Forms,Log of Information Assets for Disposal,32,
Forms,Log of Request to Remove Info Assets from Site,32,
Forms,Rationale for a DPO,37,
Forms,Data Protection Officer (DPO) Job Description,38,
Forms,Data Protection Officer (DPO) Job Responsibilities,39,
Forms,PIMS and GDPR Objectives Record,"1,2,3,4",
Forms,Data Subject Consent Form,"1,6,7,10",
Forms,Physical Entry Controls and Security Areas,"25,35",
Forms,Contact with Authorities Work Instruction,"31,33",
Forms,Parental Consent Form,"6,8,12,40,57",
Forms,Parental Consent Withdrawal Form,"6,8,12,40,57",
