Permissions/Roles,CCPA
risk_model_read,Y
risk_model_create,
risk_model_update,
risk_model_delete,
organization_read,Y
organization_update,
subsidiary_read,Y
subsidiary_create,
subsidiary_update,
subsidiary_delete,
business_unit_read,Y
business_unit_create,
business_unit_update,
business_unit_delete,
asset_class_read,Y
asset_class_create,
asset_class_update,
asset_class_delete,
data_class_read,Y
data_class_create,
data_class_update,
data_class_delete,
system_read,Y
system_create,
system_update,
system_delete,
process_read,Y
process_create,
process_update,
process_delete,
technology_category_read,Y
technology_category_create,
technology_category_update,
technology_category_delete,
technology_read,Y
technology_create,
technology_update,
technology_delete,
data_exfiltration_read,Y
data_exfiltration_update,Y
business_interruption_read,
business_interruption_update,
regulatory_exposure_read,
regulatory_exposure_update,
risk_scoring_read,
risk_scoring_question,
domain_read,
domain_add,
category_read,
category_create,
category_update,
quantification_model_read,
quantification_metric_read,
quantification_metric_create,
quantification_metric_update,
quantification_metric_delete,
qualitative_metric_read,
qualitative_metric_create,
qualitative_metric_update,
qualitative_question_read,
qualitative_question_create,
qualitative_question_update,
qualitative_question_delete,
risk_answer_read,
risk_answer_update,
associate_model_read,
associate_model_create,
associate_model_update,
associate_model_delete,
assessment_read,Y
assessment_create,
assessment_update,
assessment_delete,
assessment_type_read,Y
assessment_type_create,
assessment_type_update,
assessment_type_delete,
nist_csf_category_read,
nist_csf_category_create,
nist_csf_category_update,
nist_csf_category_delete,
control_maturity_read,
control_maturity_create,
control_maturity_update,
control_maturity_delete,
control_test_read,Y
control_test_create,
control_test_update,
control_test_delete,
control_guideline_read,Y
control_guideline_create,
control_guideline_update,
control_guideline_delete,
import_assessment_framework,
assessment_finding_read,Y
assessment_finding_create,
assessment_finding_update,
assessment_finding_delete,
vendor_read,Y
vendor_create,
vendor_update,
vendor_scoring_question,
vendor_internal_question,
cloud_scoring_read,Y
cloud_scoring_question,
associate_system_read,Y
associate_system_update,
gdpr_organization_compliance_read,
gdpr_organization_compliance_scoring_question,
gdpr_organization_compliance_update,
gdpr_system_compliance_read,
gdpr_system_article_compliance_read,
gdpr_system_compliance_scoring_question,
gdpr_system_article_compliance_update,
gdpr_evidence_document_read,
gdpr_evidence_document_update,
security_tool_read,
security_tool_create,
security_tool_update,
security_tool_delete,
cyber_role_read,
cyber_role_create,
cyber_role_update,
cyber_role_delete,
operational_cost_read,
operational_cost_create,
operational_cost_update,
operational_cost_delete,
capital_cost_read,
capital_cost_create,
capital_cost_update,
capital_cost_delete,
variable_cost_read,
variable_cost_create,
variable_cost_update,
variable_cost_delete,
user_read,
user_create,
user_update,
user_delete,
user_settings_read,
user_settings_update,
export_business_unit,Y
export_business_unit_template,Y
export_control_guideline,
export_process,
export_process_template,
export_qualitative_question,
export_system_risk,
export_technology,
export_technology_template,
export_vendor,Y
export_subsidiary,Y
export_user,
export_gdpr_article,
external_analytics_read,
external_analytics_create,
external_analytics_update,
external_analytics_delete,
import_business_unit,Y
import_control_guideline,
import_qualitative_question,
import_process,
import_system_risk,
import_vendor,Y
import_subsidiary,Y
import_technology,
import_user,
import_gdpr_article,
import_gdpr_evidence_articles,
dashboard_my_assignments,
dashboard_vendor,
dashboard_vendor_status,
dashboard_vendor_self_assessment,
dashboard_vendor_and_systems,
dashboard_organization,
dashboard_privacy,
dashboard_cloud,
dashboard_m_and_a,
dashboard_crown_jewel_asset,
dashboard_privacy_risk,
dashboard_cybersecurity_tool_roi,
dashboard_budgeting,
dashboard_budget_scenario_analysis,
dashboard_admin,
dashboard_phi_data,
dashboard_etl_systems_exposures,
dashboard_iot_exposures,
dashboard_uninsurable_exposures,
system_risk_reduction_read,
system_risk_reduction_update,
dashboard_question_status,
dashboard_assignment_status,
dashboard_question_status_report,
dashboard_residual_cyber_risk,
dashboard_business_unit_question_status,
dashboard_task,
dashboard_organization_system_gdpr,
dashboard_risk_register,
dashboard_assessment_findings,
dashboard_resources,
dashboard_assessment,
dashboard_data_exfiltrations,
audit_log_read,
audit_log_details,
task_read,
task_create,
task_update,
task_delete,
risk_metric_read,
risk_metric_create,
risk_metric_update,
risk_metric_delete,
organization_control_test_result_download,
system_control_test_result_read,Y
system_control_test_result_update,Y
system_control_test_result_drilldown,Y
system_control_test_result_download,
control_test_result_read,Y
control_test_result_update,Y
security_requirement_read,Y
security_requirement_create,
security_requirement_update,
security_requirement_delete,
import_security_requirements,
privacy_impact_assessment_read,
organization_risk_scoring_read,
policy_read,
policy_create,
policy_update,
policy_delete,
export_assessment_framework,
export_security_requirements,
vulnerability_read,
vulnerability_create,
vulnerability_update,
vulnerability_delete,
organization_supported_languages_update,
risk_model_constant_read,
risk_model_constant_create,
risk_model_constant_update,
risk_model_constant_delete,
risk_model_recalculate_cache,
